p Parameter,Run,Graph Size,Graph Type,Density,Steps
0.3,0,30,erdos renyi gilbert gnp,0.310345,20
0.3,1,30,erdos renyi gilbert gnp,0.310345,9
0.3,2,30,erdos renyi gilbert gnp,0.310345,7
0.3,3,30,erdos renyi gilbert gnp,0.310345,10
0.3,4,30,erdos renyi gilbert gnp,0.310345,7
0.3,5,30,erdos renyi gilbert gnp,0.310345,12
0.3,6,30,erdos renyi gilbert gnp,0.310345,12
0.3,7,30,erdos renyi gilbert gnp,0.310345,11
0.3,8,30,erdos renyi gilbert gnp,0.310345,8
0.3,9,30,erdos renyi gilbert gnp,0.310345,7
0.3,10,30,erdos renyi gilbert gnp,0.310345,8
0.3,11,30,erdos renyi gilbert gnp,0.310345,8
0.3,12,30,erdos renyi gilbert gnp,0.310345,6
0.3,13,30,erdos renyi gilbert gnp,0.310345,10
0.3,14,30,erdos renyi gilbert gnp,0.310345,9
0.3,15,30,erdos renyi gilbert gnp,0.310345,6
0.3,16,30,erdos renyi gilbert gnp,0.310345,9
0.3,17,30,erdos renyi gilbert gnp,0.310345,7
0.3,18,30,erdos renyi gilbert gnp,0.310345,7
0.3,19,30,erdos renyi gilbert gnp,0.310345,8
0.3,20,30,erdos renyi gilbert gnp,0.310345,9
0.3,21,30,erdos renyi gilbert gnp,0.310345,7
0.3,22,30,erdos renyi gilbert gnp,0.310345,8
0.3,23,30,erdos renyi gilbert gnp,0.310345,4
0.3,24,30,erdos renyi gilbert gnp,0.310345,12
0.3,25,30,erdos renyi gilbert gnp,0.310345,7
0.3,26,30,erdos renyi gilbert gnp,0.310345,7
0.3,27,30,erdos renyi gilbert gnp,0.310345,6
0.3,28,30,erdos renyi gilbert gnp,0.310345,7
0.3,29,30,erdos renyi gilbert gnp,0.310345,8
0.3,30,30,erdos renyi gilbert gnp,0.310345,15
0.3,31,30,erdos renyi gilbert gnp,0.310345,7
0.3,32,30,erdos renyi gilbert gnp,0.310345,6
0.3,33,30,erdos renyi gilbert gnp,0.310345,14
0.3,34,30,erdos renyi gilbert gnp,0.310345,8
0.3,35,30,erdos renyi gilbert gnp,0.310345,7
0.3,36,30,erdos renyi gilbert gnp,0.310345,9
0.3,37,30,erdos renyi gilbert gnp,0.310345,10
0.3,38,30,erdos renyi gilbert gnp,0.310345,6
0.3,39,30,erdos renyi gilbert gnp,0.310345,9
0.3,40,30,erdos renyi gilbert gnp,0.310345,6
0.3,41,30,erdos renyi gilbert gnp,0.310345,6
0.3,42,30,erdos renyi gilbert gnp,0.310345,9
0.3,43,30,erdos renyi gilbert gnp,0.310345,13
0.3,44,30,erdos renyi gilbert gnp,0.310345,8
0.3,45,30,erdos renyi gilbert gnp,0.310345,10
0.3,46,30,erdos renyi gilbert gnp,0.310345,10
0.3,47,30,erdos renyi gilbert gnp,0.310345,7
0.3,48,30,erdos renyi gilbert gnp,0.310345,9
0.3,49,30,erdos renyi gilbert gnp,0.310345,7
0.3,0,30,erdos renyi gilbert gnp,0.308046,8
0.3,1,30,erdos renyi gilbert gnp,0.308046,10
0.3,2,30,erdos renyi gilbert gnp,0.308046,7
0.3,3,30,erdos renyi gilbert gnp,0.308046,7
0.3,4,30,erdos renyi gilbert gnp,0.308046,8
0.3,5,30,erdos renyi gilbert gnp,0.308046,7
0.3,6,30,erdos renyi gilbert gnp,0.308046,11
0.3,7,30,erdos renyi gilbert gnp,0.308046,8
0.3,8,30,erdos renyi gilbert gnp,0.308046,6
0.3,9,30,erdos renyi gilbert gnp,0.308046,8
0.3,10,30,erdos renyi gilbert gnp,0.308046,12
0.3,11,30,erdos renyi gilbert gnp,0.308046,7
0.3,12,30,erdos renyi gilbert gnp,0.308046,7
0.3,13,30,erdos renyi gilbert gnp,0.308046,7
0.3,14,30,erdos renyi gilbert gnp,0.308046,8
0.3,15,30,erdos renyi gilbert gnp,0.308046,7
0.3,16,30,erdos renyi gilbert gnp,0.308046,7
0.3,17,30,erdos renyi gilbert gnp,0.308046,8
0.3,18,30,erdos renyi gilbert gnp,0.308046,8
0.3,19,30,erdos renyi gilbert gnp,0.308046,9
0.3,20,30,erdos renyi gilbert gnp,0.308046,11
0.3,21,30,erdos renyi gilbert gnp,0.308046,7
0.3,22,30,erdos renyi gilbert gnp,0.308046,10
0.3,23,30,erdos renyi gilbert gnp,0.308046,6
0.3,24,30,erdos renyi gilbert gnp,0.308046,10
0.3,25,30,erdos renyi gilbert gnp,0.308046,7
0.3,26,30,erdos renyi gilbert gnp,0.308046,9
0.3,27,30,erdos renyi gilbert gnp,0.308046,6
0.3,28,30,erdos renyi gilbert gnp,0.308046,7
0.3,29,30,erdos renyi gilbert gnp,0.308046,10
0.3,30,30,erdos renyi gilbert gnp,0.308046,8
0.3,31,30,erdos renyi gilbert gnp,0.308046,7
0.3,32,30,erdos renyi gilbert gnp,0.308046,7
0.3,33,30,erdos renyi gilbert gnp,0.308046,10
0.3,34,30,erdos renyi gilbert gnp,0.308046,11
0.3,35,30,erdos renyi gilbert gnp,0.308046,9
0.3,36,30,erdos renyi gilbert gnp,0.308046,10
0.3,37,30,erdos renyi gilbert gnp,0.308046,6
0.3,38,30,erdos renyi gilbert gnp,0.308046,9
0.3,39,30,erdos renyi gilbert gnp,0.308046,11
0.3,40,30,erdos renyi gilbert gnp,0.308046,8
0.3,41,30,erdos renyi gilbert gnp,0.308046,11
0.3,42,30,erdos renyi gilbert gnp,0.308046,11
0.3,43,30,erdos renyi gilbert gnp,0.308046,12
0.3,44,30,erdos renyi gilbert gnp,0.308046,6
0.3,45,30,erdos renyi gilbert gnp,0.308046,9
0.3,46,30,erdos renyi gilbert gnp,0.308046,9
0.3,47,30,erdos renyi gilbert gnp,0.308046,12
0.3,48,30,erdos renyi gilbert gnp,0.308046,13
0.3,49,30,erdos renyi gilbert gnp,0.308046,8
0.3,0,30,erdos renyi gilbert gnp,0.287356,6
0.3,1,30,erdos renyi gilbert gnp,0.287356,6
0.3,2,30,erdos renyi gilbert gnp,0.287356,12
0.3,3,30,erdos renyi gilbert gnp,0.287356,9
0.3,4,30,erdos renyi gilbert gnp,0.287356,8
0.3,5,30,erdos renyi gilbert gnp,0.287356,12
0.3,6,30,erdos renyi gilbert gnp,0.287356,7
0.3,7,30,erdos renyi gilbert gnp,0.287356,9
0.3,8,30,erdos renyi gilbert gnp,0.287356,10
0.3,9,30,erdos renyi gilbert gnp,0.287356,11
0.3,10,30,erdos renyi gilbert gnp,0.287356,14
0.3,11,30,erdos renyi gilbert gnp,0.287356,7
0.3,12,30,erdos renyi gilbert gnp,0.287356,9
0.3,13,30,erdos renyi gilbert gnp,0.287356,8
0.3,14,30,erdos renyi gilbert gnp,0.287356,8
0.3,15,30,erdos renyi gilbert gnp,0.287356,7
0.3,16,30,erdos renyi gilbert gnp,0.287356,8
0.3,17,30,erdos renyi gilbert gnp,0.287356,9
0.3,18,30,erdos renyi gilbert gnp,0.287356,9
0.3,19,30,erdos renyi gilbert gnp,0.287356,11
0.3,20,30,erdos renyi gilbert gnp,0.287356,7
0.3,21,30,erdos renyi gilbert gnp,0.287356,12
0.3,22,30,erdos renyi gilbert gnp,0.287356,11
0.3,23,30,erdos renyi gilbert gnp,0.287356,9
0.3,24,30,erdos renyi gilbert gnp,0.287356,6
0.3,25,30,erdos renyi gilbert gnp,0.287356,9
0.3,26,30,erdos renyi gilbert gnp,0.287356,9
0.3,27,30,erdos renyi gilbert gnp,0.287356,8
0.3,28,30,erdos renyi gilbert gnp,0.287356,9
0.3,29,30,erdos renyi gilbert gnp,0.287356,11
0.3,30,30,erdos renyi gilbert gnp,0.287356,8
0.3,31,30,erdos renyi gilbert gnp,0.287356,13
0.3,32,30,erdos renyi gilbert gnp,0.287356,7
0.3,33,30,erdos renyi gilbert gnp,0.287356,13
0.3,34,30,erdos renyi gilbert gnp,0.287356,11
0.3,35,30,erdos renyi gilbert gnp,0.287356,6
0.3,36,30,erdos renyi gilbert gnp,0.287356,20
0.3,37,30,erdos renyi gilbert gnp,0.287356,8
0.3,38,30,erdos renyi gilbert gnp,0.287356,11
0.3,39,30,erdos renyi gilbert gnp,0.287356,11
0.3,40,30,erdos renyi gilbert gnp,0.287356,17
0.3,41,30,erdos renyi gilbert gnp,0.287356,14
0.3,42,30,erdos renyi gilbert gnp,0.287356,8
0.3,43,30,erdos renyi gilbert gnp,0.287356,8
0.3,44,30,erdos renyi gilbert gnp,0.287356,11
0.3,45,30,erdos renyi gilbert gnp,0.287356,11
0.3,46,30,erdos renyi gilbert gnp,0.287356,11
0.3,47,30,erdos renyi gilbert gnp,0.287356,12
0.3,48,30,erdos renyi gilbert gnp,0.287356,10
0.3,49,30,erdos renyi gilbert gnp,0.287356,12
0.3,0,30,erdos renyi gilbert gnp,0.275862,12
0.3,1,30,erdos renyi gilbert gnp,0.275862,13
0.3,2,30,erdos renyi gilbert gnp,0.275862,7
0.3,3,30,erdos renyi gilbert gnp,0.275862,9
0.3,4,30,erdos renyi gilbert gnp,0.275862,7
0.3,5,30,erdos renyi gilbert gnp,0.275862,9
0.3,6,30,erdos renyi gilbert gnp,0.275862,10
0.3,7,30,erdos renyi gilbert gnp,0.275862,9
0.3,8,30,erdos renyi gilbert gnp,0.275862,10
0.3,9,30,erdos renyi gilbert gnp,0.275862,16
0.3,10,30,erdos renyi gilbert gnp,0.275862,11
0.3,11,30,erdos renyi gilbert gnp,0.275862,8
0.3,12,30,erdos renyi gilbert gnp,0.275862,10
0.3,13,30,erdos renyi gilbert gnp,0.275862,12
0.3,14,30,erdos renyi gilbert gnp,0.275862,11
0.3,15,30,erdos renyi gilbert gnp,0.275862,8
0.3,16,30,erdos renyi gilbert gnp,0.275862,18
0.3,17,30,erdos renyi gilbert gnp,0.275862,7
0.3,18,30,erdos renyi gilbert gnp,0.275862,11
0.3,19,30,erdos renyi gilbert gnp,0.275862,7
0.3,20,30,erdos renyi gilbert gnp,0.275862,12
0.3,21,30,erdos renyi gilbert gnp,0.275862,13
0.3,22,30,erdos renyi gilbert gnp,0.275862,7
0.3,23,30,erdos renyi gilbert gnp,0.275862,7
0.3,24,30,erdos renyi gilbert gnp,0.275862,9
0.3,25,30,erdos renyi gilbert gnp,0.275862,15
0.3,26,30,erdos renyi gilbert gnp,0.275862,5
0.3,27,30,erdos renyi gilbert gnp,0.275862,8
0.3,28,30,erdos renyi gilbert gnp,0.275862,8
0.3,29,30,erdos renyi gilbert gnp,0.275862,7
0.3,30,30,erdos renyi gilbert gnp,0.275862,11
0.3,31,30,erdos renyi gilbert gnp,0.275862,14
0.3,32,30,erdos renyi gilbert gnp,0.275862,8
0.3,33,30,erdos renyi gilbert gnp,0.275862,8
0.3,34,30,erdos renyi gilbert gnp,0.275862,10
0.3,35,30,erdos renyi gilbert gnp,0.275862,14
0.3,36,30,erdos renyi gilbert gnp,0.275862,10
0.3,37,30,erdos renyi gilbert gnp,0.275862,17
0.3,38,30,erdos renyi gilbert gnp,0.275862,10
0.3,39,30,erdos renyi gilbert gnp,0.275862,8
0.3,40,30,erdos renyi gilbert gnp,0.275862,7
0.3,41,30,erdos renyi gilbert gnp,0.275862,10
0.3,42,30,erdos renyi gilbert gnp,0.275862,7
0.3,43,30,erdos renyi gilbert gnp,0.275862,12
0.3,44,30,erdos renyi gilbert gnp,0.275862,9
0.3,45,30,erdos renyi gilbert gnp,0.275862,9
0.3,46,30,erdos renyi gilbert gnp,0.275862,10
0.3,47,30,erdos renyi gilbert gnp,0.275862,8
0.3,48,30,erdos renyi gilbert gnp,0.275862,10
0.3,49,30,erdos renyi gilbert gnp,0.275862,10
0.3,0,30,erdos renyi gilbert gnp,0.28046,9
0.3,1,30,erdos renyi gilbert gnp,0.28046,6
0.3,2,30,erdos renyi gilbert gnp,0.28046,11
0.3,3,30,erdos renyi gilbert gnp,0.28046,8
0.3,4,30,erdos renyi gilbert gnp,0.28046,14
0.3,5,30,erdos renyi gilbert gnp,0.28046,10
